dec,hex,rev,equal
0,00,00,Y
1,01,80,
2,02,40,
3,03,c0,
4,04,20,
5,05,a0,
6,06,60,
7,07,e0,
8,08,10,
9,09,90,
10,0a,50,
11,0b,d0,
12,0c,30,
13,0d,b0,
14,0e,70,
15,0f,f0,
16,10,08,
17,11,88,
18,12,48,
19,13,c8,
20,14,28,
21,15,a8,
22,16,68,
23,17,e8,
24,18,18,Y
25,19,98,
26,1a,58,
27,1b,d8,
28,1c,38,
29,1d,b8,
30,1e,78,
31,1f,f8,
32,20,04,
33,21,84,
34,22,44,
35,23,c4,
36,24,24,Y
37,25,a4,
38,26,64,
39,27,e4,
40,28,14,
41,29,94,
42,2a,54,
43,2b,d4,
44,2c,34,
45,2d,b4,
46,2e,74,
47,2f,f4,
48,30,0c,
49,31,8c,
50,32,4c,
51,33,cc,
52,34,2c,
53,35,ac,
54,36,6c,
55,37,ec,
56,38,1c,
57,39,9c,
58,3a,5c,
59,3b,dc,
60,3c,3c,Y
61,3d,bc,
62,3e,7c,
63,3f,fc,
64,40,02,
65,41,82,
66,42,42,Y
67,43,c2,
68,44,22,
69,45,a2,
70,46,62,
71,47,e2,
72,48,12,
73,49,92,
74,4a,52,
75,4b,d2,
76,4c,32,
77,4d,b2,
78,4e,72,
79,4f,f2,
80,50,0a,
81,51,8a,
82,52,4a,
83,53,ca,
84,54,2a,
85,55,aa,
86,56,6a,
87,57,ea,
88,58,1a,
89,59,9a,
90,5a,5a,Y
91,5b,da,
92,5c,3a,
93,5d,ba,
94,5e,7a,
95,5f,fa,
96,60,06,
97,61,86,
98,62,46,
99,63,c6,
100,64,26,
101,65,a6,
102,66,66,Y
103,67,e6,
104,68,16,
105,69,96,
106,6a,56,
107,6b,d6,
108,6c,36,
109,6d,b6,
110,6e,76,
111,6f,f6,
112,70,0e,
113,71,8e,
114,72,4e,
115,73,ce,
116,74,2e,
117,75,ae,
118,76,6e,
119,77,ee,
120,78,1e,
121,79,9e,
122,7a,5e,
123,7b,de,
124,7c,3e,
125,7d,be,
126,7e,7e,Y
127,7f,fe,
128,80,01,
129,81,81,Y
130,82,41,
131,83,c1,
132,84,21,
133,85,a1,
134,86,61,
135,87,e1,
136,88,11,
137,89,91,
138,8a,51,
139,8b,d1,
140,8c,31,
141,8d,b1,
142,8e,71,
143,8f,f1,
144,90,09,
145,91,89,
146,92,49,
147,93,c9,
148,94,29,
149,95,a9,
150,96,69,
151,97,e9,
152,98,19,
153,99,99,Y
154,9a,59,
155,9b,d9,
156,9c,39,
157,9d,b9,
158,9e,79,
159,9f,f9,
160,a0,05,
161,a1,85,
162,a2,45,
163,a3,c5,
164,a4,25,
165,a5,a5,Y
166,a6,65,
167,a7,e5,
168,a8,15,
169,a9,95,
170,aa,55,
171,ab,d5,
172,ac,35,
173,ad,b5,
174,ae,75,
175,af,f5,
176,b0,0d,
177,b1,8d,
178,b2,4d,
179,b3,cd,
180,b4,2d,
181,b5,ad,
182,b6,6d,
183,b7,ed,
184,b8,1d,
185,b9,9d,
186,ba,5d,
187,bb,dd,
188,bc,3d,
189,bd,bd,Y
190,be,7d,
191,bf,fd,
192,c0,03,
193,c1,83,
194,c2,43,
195,c3,c3,Y
196,c4,23,
197,c5,a3,
198,c6,63,
199,c7,e3,
200,c8,13,
201,c9,93,
202,ca,53,
203,cb,d3,
204,cc,33,
205,cd,b3,
206,ce,73,
207,cf,f3,
208,d0,0b,
209,d1,8b,
210,d2,4b,
211,d3,cb,
212,d4,2b,
213,d5,ab,
214,d6,6b,
215,d7,eb,
216,d8,1b,
217,d9,9b,
218,da,5b,
219,db,db,Y
220,dc,3b,
221,dd,bb,
222,de,7b,
223,df,fb,
224,e0,07,
225,e1,87,
226,e2,47,
227,e3,c7,
228,e4,27,
229,e5,a7,
230,e6,67,
231,e7,e7,Y
232,e8,17,
233,e9,97,
234,ea,57,
235,eb,d7,
236,ec,37,
237,ed,b7,
238,ee,77,
239,ef,f7,
240,f0,0f,
241,f1,8f,
242,f2,4f,
243,f3,cf,
244,f4,2f,
245,f5,af,
246,f6,6f,
247,f7,ef,
248,f8,1f,
249,f9,9f,
250,fa,5f,
251,fb,df,
252,fc,3f,
253,fd,bf,
254,fe,7f,
255,ff,ff,Y